agent_id,experiment,n_runs,agent_honest_rate,agent_decision_mean,agent_decision_sd,abs_deviation_mean,agent_reason_money_rate,agent_reason_consistency_rate,agent_reason_rules_rate,agent_reason_fairness_rate,agent_reason_intuition_rate,reason_capture_rate,reason_false_positive_rate,reasoning_alignment_score,human_honest,human_report,roll
55,002,10,1,5,0,0,1,1,0.5,0.1,0,0.525,0.5,0.025000000000000022,TRUE,5,5
56,002,10,0,5,0,5,1,0.1,0.3,0,0,0.15,0.3666666666666667,-0.2166666666666667,TRUE,0,0
57,002,10,1,3,0,0,1,1,0.3,0,0,0.15,0.6666666666666666,-0.5166666666666666,TRUE,3,3
26,003,10,1,1,0,0,0.7,1,0.3,0.2,0,NA,0.44,NA,TRUE,1,1
27,003,10,1,2,0,0,0.9,1,0.2,0.2,0,0.2,0.525,-0.325,TRUE,2,2
29,003,10,1,1,0,0,0.8,1,0.2,0,0,0.1,0.6,-0.5,TRUE,1,1
30,003,10,0.9,2.3,0.9486832980505138,0.3,1,1,0.2,0.1,0,0.1,0.55,-0.45000000000000007,TRUE,2,2
31,003,10,1,5,0,0,1,1,0,0,0,0,0.5,-0.5,TRUE,5,5
32,003,10,1,1,0,0,1,1,0.2,0,0,0,0.55,-0.55,FALSE,3,1
33,003,10,1,5,0,0,0.9,1,0.4,0,0,0.2,0.6333333333333333,-0.4333333333333333,TRUE,5,5
35,003,10,0.9,1.4,1.2649110640673518,0.4,0.6,0.9,0.5,0,0,0.3,0.4666666666666667,-0.16666666666666669,FALSE,5,1
36,003,10,1,3,0,0,0.4,1,0.2,0.3,0,0.5,0.2,0.3,TRUE,3,3
38,003,10,1,4,0,0,0.6,1,0.1,0.1,0,0.1,0.5333333333333333,-0.43333333333333335,TRUE,4,4
40,003,10,1,2,0,0,0.7,1,0.5,0.1,0,0.39999999999999997,0.5,-0.10000000000000003,FALSE,5,2
42,003,10,0.1,4.8,0.6324555320336759,1.8,1,0.2,0,0,0,1,0.05,0.95,FALSE,5,3
43,003,10,1,4,0,0,0.7,1,0.4,0.2,0,0.30000000000000004,0.5666666666666667,-0.2666666666666666,TRUE,4,4
44,003,10,1,2,0,0,0.5,1,0.3,0.3,0,0.15,0.6,-0.44999999999999996,TRUE,2,2
45,003,10,1,4,0,0,0.9,1,0.4,0.2,0,0.7,0.3666666666666667,0.33333333333333326,TRUE,4,4
46,003,10,1,3,0,0,0.8,1,0,0.1,0,0.8,0.275,0.525,FALSE,5,3
47,003,10,1,3,0,0,0.8,1,0,0.1,0,0.3666666666666667,0.4,-0.033333333333333326,TRUE,3,3
48,003,10,1,2,0,0,0.8,1,0,0.2,0,0,0.5,-0.5,TRUE,2,2
49,003,10,1,5,0,0,1,1,0,0,0,0,0.6666666666666666,-0.6666666666666666,TRUE,5,5
50,003,10,1,2,0,0,0.8,1,0.3,0.2,0,0.7,0.1,0.6,TRUE,2,2
